Title,Available Globally?,Release Date,Hours Viewed,Number of Ratings,Rating,Genre,Key Words,Description,Type,release_date_parsed,Korea,Title_Korea,Type_New
Hwarang: Season 1 // 화랑: 시즌1,No,2020-06-05,4600000.0,12.0,9.6,Documentary,"panties,teenager,friendship,party,female nudity","Tells the true and untold story of prolific rapper, actor, poet and activist Tupac Shakur.",TV Show,2020-06-05,1,화랑: 시즌1,TV Show
Love After Divorce: Season 2 // 돌싱글즈: 시즌2,No,0,0.0,12.0,9.6,"Drama, Reality-TV",0,"A girl in search of her true reflection in a divided Naples: the Naples of the heights, which assumes a mask of refinement, and the Naples of the depths, a place of excess and vulgarity.",TV Show,,1,돌싱글즈: 시즌2,TV Show
FENGSHUI // 명당,No,2017-09-22,1200000.0,5.0,9.4,"Comedy, Drama, Romance","live action remake of anime,based on manga,gambler,based on comic book,live action remake","After their van breaks down in the middle of nowhere, the women of a volleyball team must fight for their lives against a group of degenerate hunters.",Movie,2017-09-22,1,명당,Movie
The Roundup // 범죄도시2,No,2019-01-25,200000.0,8.0,9.4,"Documentary, Comedy","lawyer,spin off,psychosomatic illness,criminal lawyer,drug trade",Drea and Eleanor agree to go after one another&apos;s bullies.,Movie,2019-01-25,1,범죄도시2,Movie
Signal: Season 1 // 시그널: 시즌 1,No,2018-09-24,3100000.0,237.0,9.3,"Action, Adventure, Comedy","drug abuse,narcotic abuse,overdose,prostitution,heroin",Follows the tragedy in which terrorists detonated a bomb at the Boston Marathon&apos;s finish line; they carried out the attack by placing two homemade pressure-cooker bombs that resulted in three fatalities and numerous injuries.,TV Show,2018-09-24,1,시그널: 시즌 1,TV Show
Do You Like Brahms?: Season 1 // 브람스를 좋아하세요?: 시즌1,No,2016-03-18,800000.0,237.0,9.3,"Action, Comedy, Drama","child&apos;s point of view,reflection,cathartic therapy,archaeology,card","Dishes and utensils wash, dry, and stack themselves. A duster plays a silverware box like a piano while a salt-pepper-and-sugar set sings. The spoon proposes to the dish (interrupted by a cry from a baby spoon), then plays percuss...",TV Show,2016-03-18,1,브람스를 좋아하세요?: 시즌1,TV Show
Oh My Baby: Season 1 // 오 마이 베이비: 시즌1,Yes,2018-12-28,700000.0,237.0,9.3,"Biography, Drama, Romance","doctor,title spoken by character",takes two complete strangers who each think they&apos;re starting their first day at a new job. It&apos;s business as usual until their paths collide and these part-time jobs turn into full-time nightmares.,TV Show,2018-12-28,1,오 마이 베이비: 시즌1,TV Show
A Werewolf Boy // 늑대소년,No,2021-12-16,100000.0,237.0,9.3,"Action, Adventure, Drama","cabinet,girl,politics,husband wife relationship",Economical advisers give out their tips on how to get smart with money and take control over your economy.,Movie,2021-12-16,1,늑대소년,Movie
Hello Jadoo Special : Journey to west // 안녕 자두야 서유기 : 어쩌다 영웅,No,0,0.0,237.0,9.3,"Animation, Short",0,What is the formula for happiness? Alessandro Cattelan searches for the answer through interviews and unique experiences in this multigenre docu-show.,Movie,,1,안녕 자두야 서유기 : 어쩌다 영웅,Movie
Love Again: Season 2 // 우리 이혼했어요: 시즌2,No,0,0.0,237.0,9.3,Comedy,0,"Caught in the cross hairs of police corruption and Marseille&apos;s warring gangs, a loyal cop must protect his squad by taking matters into his own hands.",TV Show,,1,우리 이혼했어요: 시즌2,TV Show
Ask Us Anything Fortune Teller: 2021-2022 // 무엇이든 물어보살: 2021-2022,No,2021-04-29,13000000.0,14592.0,9.2,Documentary,"store,game,money,lawyer,secret","After his arrest at age 16, Kalief Browder fought the system and prevailed, despite unthinkable circumstances. He became an American hero.",Movie,2021-04-29,1,무엇이든 물어보살: 2021-2022,Movie
Woochi // 전우치,No,2020-03-05,5900000.0,14592.0,9.2,"Animation, Action, Adventure","overalls,time loop,killed by police,geek,best friend",Docuseries following the FIA Formula One World Championship across multiple seasons.,Movie,2020-03-05,1,전우치,Movie
The Divine Fury // 사자,No,2019-01-25,1800000.0,14592.0,9.2,"Biography, Drama, History","pirate,tv special,how to train your dragon","An Arctic fox works in the mailroom of a package delivery service, but wants to be doing the deliveries.",Movie,2019-01-25,1,사자,Movie
Tobot Galaxy Detectives: Season 1 // 또봇 V: 시즌1,Yes,2018-05-01,1600000.0,14593.0,9.2,"Documentary, Sport","life crisis,life","When a fashion employee thinks she will have to end her promising career after getting pregnant, her boss offers to adopt the child.",TV Show,2018-05-01,1,또봇 V: 시즌1,TV Show
R-Point // 알 포인트,No,2022-03-04,500000.0,14593.0,9.2,"Animation, Family, Short","tv special,halloween,halloween costume,halloween decoration,fog","This RKO-Pathe short film promotes the need for cooperation and neighborliness in the event of a nuclear disaster and associated civil defense procedures. After preaching the power of modern (for 1956) atomic weapons, civil defens...",Movie,2022-03-04,1,알 포인트,Movie
Liver or Die // 왜그래 풍상씨,No,2017-10-17,100000.0,14593.0,9.2,"Action, Comedy, Drama","hunger,prison,cannibalism,platform,reference to don quixote","During her birthday week, a young female party planner unfortunately dies. Now she must assist a specific selection of people who were in her life in order to move herself to the Above (or Heaven).",Movie,2017-10-17,1,왜그래 풍상씨,Movie
Going by the Book // 바르게 살자,No,0,0.0,14592.0,9.2,"Animation, Adventure, Comedy",0,"This is the true story of a man named Tyler Wilkinson who was born and raised in St. George, Utah. When he was young, he had a paper route and loved to play football with his brothers. He was an ordinary person who had the cutest ...",Movie,,1,바르게 살자,Movie
Kill Boksoon // 길복순,Yes,2021-12-22,53300000.0,620143.0,9.0,"Crime, Drama","character name as title,love,life,female protagonist,quirky comedy","After the murder of his parents when he was a little kid, Mexican Miguel Garza is sent away to Japan. 20 years later, he has to go back to his home country as the new heir of his family&apos;s cartel.",Movie,2021-12-22,1,길복순,Movie
Pinkfong & Baby Shark's Space Adventure // 핑크퐁 시네마 콘서트: 우주대탐험,Yes,2016-10-07,11700000.0,65.0,9.0,"Drama, Mystery, Thriller","drag,filth,glamour,artist,drag queen",A young woman haunted by her past joins a mysterious professor and his group of gifted students who investigate paranormal activity and fight demons.,Movie,2016-10-07,1,핑크퐁 시네마 콘서트: 우주대탐험,Movie
비상선언,No,2020-04-06,9300000.0,7559.0,9.0,"Short, Adventure, Romance","hotel,vacation,travel,cuzco peru,parent",The unexpected acquaintance with a young prostitute helps the venerable writer to overcome writer&apos;s block. Quite shocking story of her life inspires him for a new book.,Movie,2020-04-06,1,Not Available,Movie
Lady Vengeance // 친절한 금자씨,No,2018-06-15,9100000.0,620143.0,9.0,"Comedy, Drama, Romance",slapstick comedy,"After telling a white lie which spirals out of control, a neurotic, naive, musically gifted Muslim cleric&apos;s eldest son must follow through with an arranged marriage, even though he&apos;s madly in love with an Australian born-Lebanese ...",Movie,2018-06-15,1,친절한 금자씨,Movie
Pororo & Fairy Tales: Season 1 // 뽀로로 동화나라: 시즌 1,No,2022-12-09,3000000.0,620143.0,9.0,"Drama, History, War","family relationships,friend,father,boy","This unflinching series documents the 9/11 terrorist attacks, from Al Qaeda&apos;s roots in the 1980s to America&apos;s forceful response, both at home and abroad.",TV Show,2022-12-09,1,뽀로로 동화나라: 시즌 1,TV Show
Living Together without Marriage: Season 1 // 결혼 말고 동거: 시즌1,No,2020-05-20,700000.0,620143.0,9.0,"Documentary, Short","bodyguard,interpol,chase,hitman,singing in a car","A grandmother marries a much younger man, to her relatives&apos; dismay.",TV Show,2020-05-20,1,결혼 말고 동거: 시즌1,TV Show
Dragon Inn Part 1: The City of Sadness // 용루각: 비정도시,No,0,0.0,44.0,9.0,"Documentary, History, Sport","train,briefcase,new york city subway","Mike Epps returns to his native Indianapolis and reflects on his days as a bad baller and worse drug dealer, as well as fond memories of his parents.",Movie,,1,용루각: 비정도시,Movie
Love to Hate You: Season 1 // 연애대전: 시즌 1,Yes,2023-04-08,92300000.0,65.0,8.9,Short,"travel,love,tourist,romantic,exploration","It showcases what happened in 1993 in Waco, Texas when cult leader David Koresh faced off against the federal government in a 51-day siege.",TV Show,2023-04-08,1,연애대전: 시즌 1,TV Show
The Policeman's Lineage // 경관의 피,No,2022-06-30,19000000.0,65.0,8.9,"Comedy, Romance","tv special,stand up comedy,stand up comedy special",Two friends try to form a heavy metal band with a cellist for a Battle of the Bands.,Movie,2022-06-30,1,경관의 피,Movie
The Bride of Habaek: Season 1 // 하백의 신부: 시즌 1,No,2016-06-10,3900000.0,65.0,8.9,Documentary,"womanizer,incompetence,mother in law son in law relationship,tacoma washington,murder plot",David Letterman invites some of the hottest up-and-coming stand-up stars to perform a set and sit down for a chat.,TV Show,2016-06-10,1,하백의 신부: 시즌 1,TV Show
My Golden Life // 황금빛 내 인생,No,2017-11-17,2900000.0,65.0,8.9,"Animation, Action, Adventure","tv mini series,muay thai,boxing,based on real people,arena","Much to our amazement, an elegant and masterful illusionist detaches his own head effortlessly from his shoulders for a once-in-a-lifetime performance.",Movie,2017-11-17,1,황금빛 내 인생,Movie
Night in Paradise // 낙원의 밤,Yes,2019-10-25,500000.0,65.0,8.9,"Animation, Adventure, Comedy","relaxation,sleep","Inspector Gadget returns in this sequel to the 1999 hit. A glitched Gadget once again must fight his arch nemesis, Claw, with the aid of a female Gadget: G2.",Movie,2019-10-25,1,낙원의 밤,Movie
"Hello, Me!: Season 1 // 안녕? 나야!: 시즌 1",Yes,2016-08-12,3200000.0,11.0,8.8,"Drama, Horror, Sci-Fi","christmas,north pole,brother sister relationship,teenage girl,sequel",Sonic in a high-octane adventure where the fate of a strange new multiverse rests in his gloved hands.,TV Show,2016-08-12,1,안녕? 나야!: 시즌 1,TV Show
Chief of Staff: Season 2 // 보좌관: 시즌 2,Yes,2021-07-02,2700000.0,32.0,8.8,Talk-Show,"femdom,dominatrix,foot fetish,based on webcomic,based on comic",Julien&apos;s been dethroned and his kingdom is in trouble so now he has to fight Sage&apos;s brother Koto and free his subjects to get it back with help from his friends.,TV Show,2021-07-02,1,보좌관: 시즌 2,TV Show
Who Are You: School 2015: Season 1 // 후아유-학교 2015: 시즌1,No,2020-09-10,700000.0,32.0,8.8,"Comedy, Drama, Romance","friday the thirteenth,manhattan new york city,boat,hockey mask,anchor","Welcome to a food extravaganza, a visual poem to Mexico&apos;s foodie ingenuity and the quirky and delicious flavors that are worth the stomach aches.",TV Show,2020-09-10,1,후아유-학교 2015: 시즌1,TV Show
Forgotten // 기억의 밤,Yes,2020-01-24,500000.0,27.0,8.8,"Documentary, Sport","money,revenge,alcatraz,neo noir,ambiguous ending","In a beautiful house near Tokyo, six young people move in together without knowing each other. There is no script, this is their story.",Movie,2020-01-24,1,기억의 밤,Movie
A Little Princess // 감쪽같은 그녀,No,2020-10-02,100000.0,7093.0,8.8,"Comedy, Drama","anime animation,informant",Michelle Obama delves into the challenges and life lessons that shaped her second bestselling book in an illuminating conversation with Oprah Winfrey.,Movie,2020-10-02,1,감쪽같은 그녀,Movie
Fall for you: Season 1 // 네가 빠진 세계: 시즌1,No,2022-10-07,31900000.0,14.0,8.7,Comedy,psychotronic film,"With prayer beads in one hand and an ax in the other, a monk hunts down a millennia-old spirit that&apos;s possessing humans and unleashing hell on Earth.",TV Show,2022-10-07,1,네가 빠진 세계: 시즌1,TV Show
Jump like a Witch: 2022 // 마녀체력 농구부: 2022,Yes,2022-10-07,3800000.0,8165.0,8.7,"Drama, Horror, Thriller","reference to tiger beat magazine,stand up comedy special,feminism,dating,being single","Dishes and utensils wash, dry, and stack themselves. A duster plays a silverware box like a piano while a salt-pepper-and-sugar set sings. The spoon proposes to the dish (interrupted by a cry from a baby spoon), then plays percuss...",Movie,2022-10-07,1,마녀체력 농구부: 2022,Movie
The Lady in Dignity: Season 1 // 품위있는 그녀: 시즌 1,Yes,2020-03-13,3700000.0,8165.0,8.7,Drama,"attacked with a knife,bamboo forest,blood,blood splatter,classroom","Polish film and music icon Kalina Jedrusik, a scandalous free-spirited sex symbol, fights for her independence in the prude society of the 1960s.",TV Show,2020-03-13,1,품위있는 그녀: 시즌 1,TV Show
My Annoying Brother // 형,No,2019-11-01,3300000.0,8.0,8.7,"Animation, Short, Adventure","traumatized man,sexual abuse,pedophile priest,childhood memory,childhood trauma","The comic takes the stage in California to make observations about gossiping, the pandemic and airport experiences.",Movie,2019-11-01,1,형,Movie
Heart Signal: Season 4 // 하트시그널: 시즌4,No,2021-10-08,2600000.0,11.0,8.7,"Comedy, Romance","tv special,stand up,stand up comedy,stand up comedy special",The untold true story of the legendary detectives who brought down Bonnie and Clyde.,TV Show,2021-10-08,1,하트시그널: 시즌4,TV Show
Defendant: Season 1 // 피고인: 시즌 1,No,2015-06-14,1600000.0,8165.0,8.7,"Action, Adventure, Thriller","chess,cold war,timeframe 1960s",Mags and Ash attempt to rekindle their marriage on their vacation after having a baby but kept arguing the whole trip. Mags meets Angela and have an instant connection soon the couple start to reconnect over the idea of a threesome.,TV Show,2015-06-14,1,피고인: 시즌 1,TV Show
"Daddy You, Daughter Me // 아빠는 딸",No,2015-02-06,1400000.0,8165.0,8.7,"Comedy, Drama","sequel,second part,love,life,couple","A sweeping drama set in the chaotic aftermath of the US invasion of Iraq, where the life of top UN diplomat Sergio Vieira de Mello hangs in the balance during the most treacherous mission of his career.",Movie,2015-02-06,1,아빠는 딸,Movie
My Sassy Girl // 엽기적인 그녀,No,2017-05-01,600000.0,69.0,8.7,Documentary,"american food,fryer,food,crispy,reenactment","On her 40th birthday, Tiffany Haddish drops a bombastic special studded with singing, dancing and raunchy reflections on her long road to womanhood.",Movie,2017-05-01,1,엽기적인 그녀,Movie
Beautiful Gong Shim: Season 1 // 미녀 공심이,No,2017-07-04,500000.0,8165.0,8.7,"Drama, Romance, Sci-Fi","diving,title spoken by character",Terrace House: Aloha State focuses on six young people living in beautiful Hawaii. The camera crew follows the cast 24 hours-a-day to capture events in their lives as each pursues their dream.,TV Show,2017-07-04,1,미녀 공심이,Movie
I Hear Your Voice: Season 1 // 너의 목소리가 들려: 시즌1,No,2018-11-02,300000.0,8165.0,8.7,"Documentary, Biography, Sport",tv special,"In his first stand-up special, Hasan Minhaj weaves humorous and heartbreaking anecdotes to tell his life story as an Indian-American Muslim. Topics include racism, bullying and meeting the demanding expectations of his immigrant p...",TV Show,2018-11-02,1,너의 목소리가 들려: 시즌1,TV Show
Coin Locker Girl // 차이나타운,No,0,0.0,8165.0,8.7,Thriller,fall,"An imaginary world comes to life in a holiday tale of an eccentric toymaker, his adventurous granddaughter, and a magical invention that has the power to change their lives forever.",Movie,,1,차이나타운,Movie
Happy End // 해피엔드,No,0,0.0,8165.0,8.7,"Crime, Drama, Thriller",0,This Sportscope short features the sport of kayaking. Participants ride river rapids and show their skill as they maneuver through special &apos;water slalom&apos; courses.,Movie,,1,해피엔드,Movie
Mr. Queen // 철인왕후,No,2022-12-16,146900000.0,6.0,8.6,Sport,"f1,formula 1,motor sports,car race,championship",An Interpol agent successfully tracks down the world&apos;s most wanted art thief with help from a rival thief. But nothing is as it seems as a series of double-crosses ensues.,Movie,2022-12-16,1,철인왕후,Movie
Juvenile Justice: Season 1 // 소년심판: 시즌 1,Yes,2022-11-25,14300000.0,10.0,8.6,"Action, Adventure, Drama","episodic structure,taxi,passenger talks to taxi driver,culture clash,immigration",Lucky Prescott&apos;s life is changed forever when she moves from her home in the city to a small frontier town and befriends a wild mustang named Spirit.,TV Show,2022-11-25,1,소년심판: 시즌 1,TV Show
Nothing Serious // 연애 빠진 로맨스,No,2022-11-16,13700000.0,9481.0,8.6,"Family, Comedy, Action","female frontal nudity,female full frontal nudity,female topless nudity,female nudity,male nudity","To escape a scandal, a bestselling author journeys to Scotland, where she falls in love with a castle - and faces off with the grumpy duke who owns it.",Movie,2022-11-16,1,연애 빠진 로맨스,Movie
Mother // 마더,No,2021-11-19,8300000.0,10.0,8.6,"Short, Comedy","beirut,middle east,terrorist,terrorism,location in title","When a billionaire&apos;s daughter intent on bringing down a major crime syndicate is targeted by a group of professional assassins, a team of mercenaries must stop them before they kill her.",Movie,2021-11-19,1,마더,Movie
Fists of Legend // 전설의 주먹,No,2021-09-17,4400000.0,26.0,8.6,Reality-TV,"toy,doll,christmas,surrealism,family relationships",Seven junior-high-school girls organize a daycare camp for children while at the same time experiencing classic adolescent growing pains.,Movie,2021-09-17,1,전설의 주먹,Movie
Hometown // 홈타운,No,2019-03-22,4100000.0,12265.0,8.6,"Comedy, Drama, Family","father daughter relationship,brazilian singer,sertanejo,brazilian music,goias brazil",A rivalry between two heirs to an estate escalates into a supernatural quest when one of them becomes a vampire and the other sets out to stop him.,Movie,2019-03-22,1,홈타운,Movie
Happiness // 해피니스,No,2019-06-14,3300000.0,6.0,8.6,Drama,"deep cleavage,fraud,father daughter estrangement,swindle,istanbul turkey","Follows Ida and Benni, who attend to The Winterstein School, which is no ordinary school, and must team together with their magical animals to solve the puzzle of mysterious holes that appeared on the school grounds.",Movie,2019-06-14,1,해피니스,Movie
The Secret Life of My Secretary // 초면에 사랑합니다,No,2017-11-07,1900000.0,18.0,8.6,"Game-Show, Reality-TV","punctuation in title,exclamation point in title,christmas wish,christmas movie,christmas","Girl Luba had a dream. She, the daughter of a chess king in a fairyland, became the victim of a cunning political conspiracy of two cards - the Peak Jack Krivello and the Cross Dame Dvuliche.",Movie,2017-11-07,1,초면에 사랑합니다,Movie
In Our Prime // 이상한 나라의 수학자,No,2022-05-16,1000000.0,13.0,8.6,"Drama, Thriller","love letter,love,affair,amnesia,extramarital affair","Filmed in front of a raucous crowd, comedian Ralphie May unleashes his hilariously raunchy perspective in his first Netflix original stand-up special.",Movie,2022-05-16,1,이상한 나라의 수학자,Movie
Night of the Undead // 죽지않는 인간들의 밤,No,2021-02-14,600000.0,18.0,8.6,Comedy,"parisian suburb,paris france,police,playing soccer,telling a joke",Full-time detectives Nick and Audrey are struggling to get their private eye agency off the ground. They find themselves at the center of international abduction when their friend Maharaja is kidnapped at his own lavish wedding.,Movie,2021-02-14,1,죽지않는 인간들의 밤,Movie
The King’s Case Note // 임금님의 사건수첩,No,2019-02-01,200000.0,9481.0,8.6,"Horror, Thriller","defense lawyer,plot twist,drug rehabilitation,envelope of money,illegal gun purchase",The relationship of a well-known journalist and a down-to-earth teacher goes through hard times when she takes a new job.,Movie,2019-02-01,1,임금님의 사건수첩,Movie
Jane's Summer // 제인의 썸머,No,0,0.0,9481.0,8.6,"Animation, Family",0,A lawyer defending a wealthy man begins to believe his client is guilty of more than just one crime.,Movie,,1,제인의 썸머,Movie
The King: Eternal Monarch: Season 1 // 더 킹: 영원의 군주: 시즌 1,Yes,2020-12-16,27800000.0,22.0,8.5,Short,"divorce,party,fourth of july,chocolate,written and directed by cast member","In a world devastated by the undead, a convicted criminal is given a second chance at life when he comes across a little girl named Clementine.",TV Show,2020-12-16,1,더 킹: 영원의 군주: 시즌 1,TV Show
Tomorrow: Season 1 // 내일: 시즌 1,Yes,2022-03-18,15700000.0,22.0,8.5,"Animation, Adventure, Comedy","cold,police,strip search,nudity,male nudity","Colorful, charismatic characters run a restoration shop and use their impressive skills and experience to restore, trade, and sell classic cars--transforming piles of rust into collectible car treasures.",TV Show,2022-03-18,1,내일: 시즌 1,TV Show
Life is Beautiful // 인생은 아름다워,No,2021-07-01,8600000.0,22.0,8.5,"Short, Action","tv special,stand up comedy,stand up comedy special",A woman with terminal cancer decides to keep a notebook full of musings on life and love for her toddler son to read after she dies.,Movie,2021-07-01,1,인생은 아름다워,Movie
Chief of Staff: Season 1 // 보좌관: 시즌 1,Yes,2015-05-01,6700000.0,12.0,8.5,"Drama, Romance","how to train your dragon,dragon,dragon as a pet,male protagonist,twins",A teenage son of two fathers makes a documentary about his parents but is surprised when a real-life plot twist occurs in his family.,TV Show,2015-05-01,1,보좌관: 시즌 1,TV Show
Toriroti: Toritori 3 // 쫑알쫑알 똘똘이 3,No,2021-04-02,2200000.0,22.0,8.5,"Comedy, Family, Romance",non fiction,"A hypothetical married Polish couple arrives in New York in the early 1840&apos;s and walks to Ohio where they settle and prosper and raise children. The man loses an arm in the Civil war, and with every new war, also loses members of ...",Movie,2021-04-02,1,쫑알쫑알 똘똘이 3,Movie
A Girl at My Door // 도희야,No,2022-02-21,1900000.0,10907.0,8.5,"Documentary, Crime, Sport","france,rap,rapper,hip hop,competition",Phil travels around the world sampling food and tradition with friends and a sense of humor.,Movie,2022-02-21,1,도희야,Movie
Love After Divorce: Season 3 // 돌싱글즈: 시즌3,No,2021-04-07,800000.0,3986.0,8.5,"Comedy, Drama","science,psychedelic animation,cat,infinity,math","After a Catholic priest is unhappily transferred out of the prison he loves, he has an opportunity to help reform an escaped convict.",TV Show,2021-04-07,1,돌싱글즈: 시즌3,TV Show
The Penthouse: War in Life: Season 3 // 펜트하우스: 시즌3,No,2015-04-26,700000.0,2396.0,8.5,"Comedy, Romance","marilyn monroe character,abortion,traumatic childhood,female rear nudity,female nudity","An imaginary world comes to life in a holiday tale of an eccentric toymaker, his adventurous granddaughter, and a magical invention that has the power to change their lives forever.",TV Show,2015-04-26,1,펜트하우스: 시즌3,TV Show
The Classic // 클래식,No,2019-06-12,300000.0,2358.0,8.5,"Drama, Music","paddywhackery,ireland,matchmaker,political advisor,irish american",A documentary filmmaker interviews the now-famous Trevor Slattery from behind bars.,Movie,2019-06-12,1,클래식,Movie
Possessed: Season 1 // 빙의: 시즌 1,Yes,2020-04-10,200000.0,58.0,8.5,"Short, Musical","hunt,hunting,forest,night,prayer","Before the events of S1, Juanquini, El Ñato and Captain González shared one Christmas wish: being courageous enough to change their lives. One mysterious character, El Dañado, could be the one who makes their dreams come true.",TV Show,2020-04-10,1,빙의: 시즌 1,TV Show
Bloody Ties // 사생결단,No,0,0.0,48371.0,8.5,"Documentary, Crime, History","foreign language,tv special,stand up comedy,stand up comedy special",Journalist Jenny Eliscu and filmmaker Erin Lee Carr investigate Britney Spears&apos; fight for freedom by way of exclusive interviews and confidential evidence.,Movie,,1,사생결단,Movie
Confession // 좋은 친구들,No,0,0.0,22.0,8.5,"Documentary, Short","celebrity,celebrity life,celebrity status,fame,price of fame","India&apos;s biggest match-fixing scandal, the icons caught in its web and the journalists who uncovered the corruption.",Movie,,1,좋은 친구들,Movie
Guimoon: The Lightless Door // 귀문,No,0,0.0,22685.0,8.5,"Animation, Short, Action",0,"Thomas was once renowned as a young tennis prodigy, but never had the career he hoped for. At 37, despite his declining physical fitness, he decides to compete in the qualifying rounds of the French Open for one last attempt at gl...",Movie,,1,귀문,Movie
The Glory: Season 1 // 더 글로리: 시즌 1,Yes,2022-12-30,622800000.0,11869.0,8.4,Short,"prequel,queen,historical,england,queen charlotte character","A holiday romantic comedy that captures the range of emotions tied to wanting your family&apos;s acceptance, being true to yourself, and trying not to ruin Christmas.",TV Show,2022-12-30,1,더 글로리: 시즌 1,TV Show
"Divorce Attorney Shin: Limited Series // 신성한, 이혼: 리미티드 시리즈",Yes,2022-12-28,54400000.0,14.0,8.4,"Animation, Drama, Sport","phrogging,kidnapping,infidelity,home invasion,murder","Coral, Wendy and Gina go on the run in search of freedom while being chased by Romeo, their pimp from Las Novias Club and his henchmen, Moises and Christian.",Movie,2022-12-28,1,"신성한, 이혼: 리미티드 시리즈",TV Show
It's Okay to Not Be Okay: Season 1 // 사이코지만 괜찮아: 시즌 1,Yes,2021-12-10,37600000.0,11869.0,8.4,Short,"couple,village,love,secret,life",Ottoman Sultan Mehmed II wages an epic campaign to take the Byzantine capital of Constantinople and shapes the course of history for centuries.,TV Show,2021-12-10,1,사이코지만 괜찮아: 시즌 1,TV Show
Titipo Titipo: Season 1 // 띠띠뽀 띠띠뽀: 시즌1,Yes,2015-06-26,23400000.0,11869.0,8.4,"Animation, Comedy, Drama","race relations,satire,ivy league university,controversy,election",The story of five Cuban political prisoners who had been imprisoned by the United States since the late 1990s on charges of espionage and murder.,TV Show,2015-06-26,1,띠띠뽀 띠띠뽀: 시즌1,TV Show
Flower of Evil: Season 1 // 악의 꽃: 시즌 1,Yes,2022-02-11,18900000.0,11869.0,8.4,"Comedy, Crime, Mystery","wilhelm scream,fireworks,3d,3 dimensional,1830s","It showcases what psychedelics teaches people about consciousness, dying, addiction, depression and transcendence.",TV Show,2022-02-11,1,악의 꽃: 시즌 1,TV Show
Tobot Galaxy Detectives: Season 2 // 또봇 V: 시즌2,Yes,2022-10-28,15500000.0,11869.0,8.4,"Drama, Horror, Thriller","19th century,funeral,friend,outlaw,pistol",Explores the dangerous human impact of social networking; tech experts sound the alarm on their own creations.,TV Show,2022-10-28,1,또봇 V: 시즌2,TV Show
Guardian: The Lonely and Great God: Season 1 // 도깨비: 시즌1,No,2010-04-01,11300000.0,11349.0,8.4,"Documentary, Short","troll,singing,dreamworks,based on film","They could sent robots. Instead, They send Rabbids. Join this unlikely team on a madcap mission to Mars where absolutely nothing goes as planned",TV Show,2010-04-01,1,도깨비: 시즌1,TV Show
Inheritors: Season 1 // 상속자들: 시즌 1,No,2023-02-03,11300000.0,11869.0,8.4,"Game-Show, Reality-TV","3 dimensional,ancient china,sequel,second part,part of duology","In 1903 Cornwall, a group of locals discover an underwater city, dating back to 1803, that hides a society of smugglers and aquatic creatures.",TV Show,2023-02-03,1,상속자들: 시즌 1,TV Show
Red Balloon: Season 1 // 빨간 풍선: 시즌1,No,2022-01-20,11300000.0,11869.0,8.4,"Documentary, Biography, Drama","christmas,safari,african safari,female socialite,culture shock","When a teen in rural India discovers a life-changing passion for skateboarding, she faces a rough road as she follows her dream to compete.",TV Show,2022-01-20,1,빨간 풍선: 시즌1,TV Show
Hello Carbot 5: Hello Carbot 10 // 헬로카봇 10,No,2017-05-05,9900000.0,11869.0,8.4,Drama,"hacker,female nudity,detective,technology,murder",The best 7 year old golfers from around the world descend on the world famous Pinehurst Golf course in North Carolina to determine the next world champion and who might become golf&apos;s next phenomenon. Most of these young prodigies ...,Movie,2017-05-05,1,헬로카봇 10,Movie
I Saw the Devil // 악마를 보았다,No,2018-09-14,9600000.0,11869.0,8.4,"Comedy, Romance","murder,religious horror,pagan cult,ritual,religious hypocrisy",A street teenager from a dysfunctional family from a banlieue (HLMs) in Paris comes across a young dancer who turns her life upside down.,Movie,2018-09-14,1,악마를 보았다,Movie
My Mister: Season 1 // 나의 아저씨: 시즌1,Yes,2021-07-29,8300000.0,11869.0,8.4,"Comedy, Family","driving,cringe comedy,surreal comedy,sketch comedy,alternative comedy","A holiday romantic comedy that captures the range of emotions tied to wanting your family&apos;s acceptance, being true to yourself, and trying not to ruin Christmas.",TV Show,2021-07-29,1,나의 아저씨: 시즌1,TV Show
The Accidental Detective 2: In Action // 탐정: 리턴즈,No,2018-10-10,6900000.0,4536.0,8.4,"Documentary, Drama, History","sports documentary,soccer,barcelona fc,betrayal,sporting","Country music star Brad Paisley hosts a night of music and laughs with comics Nate Bargatze, John Heffron, Jon Reep, Sarah Tiana and Mike E. Winfield.",Movie,2018-10-10,1,탐정: 리턴즈,Movie
Backstreet Rookie // 편의점 샛별이,No,2017-10-13,6700000.0,11869.0,8.4,"Documentary, Short","astronomical object in title,sailor moon,superheroine,female protagonist,magical girl","United by dire circumstances, four unlikely allies from a Philadelphia prep school - the hacker, the slacker, the athlete, and the perfect student - band together to attempt the impossible: steal from the U.S. Mint.",Movie,2017-10-13,1,편의점 샛별이,Movie
20th Century Girl // 20세기 소녀,Yes,2020-03-06,5500000.0,11869.0,8.4,"Action, Crime, Drama","sex scene,model,scam,couple,guidance counsellor","An African high school teacher flees his war-torn country for France, where he falls in love with a Frenchwoman who offers a roof for him and his family.",Movie,2020-03-06,1,20세기 소녀,Movie
Something About 1%: Season 1 // 1%의 어떤 것: 시즌 1,No,2020-06-05,4600000.0,8.0,8.4,"Drama, Romance","heart attack,street vendor,fruit salesman,drinking alcohol,fruit seller",Retired ex national team female handball player has become a grocery store owner in order to look after her family while she grapples with her daughter&apos;s tutor&apos;s eating disorder.,TV Show,2020-06-05,1,1%의 어떤 것: 시즌 1,TV Show
